2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T00:24:00+05:30 | Sell at 2025-03-20T01:13:00+05:30 | P/L: -0.38%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T01:28:00+05:30 | Sell at 2025-03-20T01:39:00+05:30 | P/L: 0.17%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T02:20:00+05:30 | Sell at 2025-03-20T02:33:00+05:30 | P/L: 0.17%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T02:46:00+05:30 | Sell at 2025-03-20T03:09:00+05:30 | P/L: 0.04%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T03:30:00+05:30 | Sell at 2025-03-20T04:03:00+05:30 | P/L: -0.08%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T04:34:00+05:30 | Sell at 2025-03-20T05:04:00+05:30 | P/L: -0.21%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T05:24:00+05:30 | Sell at 2025-03-20T06:09:00+05:30 | P/L: -0.38%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T06:12:00+05:30 | Sell at 2025-03-20T06:14:00+05:30 | P/L: 0.17%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T06:45:00+05:30 | Sell at 2025-03-20T07:09:00+05:30 | P/L: -0.13%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T07:50:00+05:30 | Sell at 2025-03-20T08:05:00+05:30 | P/L: 0.04%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-20T08:18:00+05:30 | Sell at 2025-03-20T08:30:00+05:30 | P/L: 0.17%
2025/03/20 08:58:25 SAKURA Long trade for ETHBTC: Buy at 2025-03-19T17:31:00+05:30 | Sell at 2025-03-19T18:40:00+05:30 | P/L: -0.25%
2025/03/20 08:58:25 SAKURA Long trade for ETHBTC: Buy at 2025-03-19T18:48:00+05:30 | Sell at 2025-03-19T19:37:00+05:30 | P/L: 0.63%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-19T18:11:00+05:30 | Sell at 2025-03-19T18:23:00+05:30 | P/L: 0.29%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-19T18:53:00+05:30 | Sell at 2025-03-19T19:01:00+05:30 | P/L: 0.29%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-19T20:48:00+05:30 | Sell at 2025-03-19T20:56:00+05:30 | P/L: 0.17%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-19T21:38:00+05:30 | Sell at 2025-03-19T22:04:00+05:30 | P/L: 0.04%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-19T22:39:00+05:30 | Sell at 2025-03-20T00:21:00+05:30 | P/L: -0.74%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T00:34:00+05:30 | Sell at 2025-03-20T01:13:00+05:30 | P/L: -0.13%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T01:34:00+05:30 | Sell at 2025-03-20T01:39:00+05:30 | P/L: 0.21%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T02:22:00+05:30 | Sell at 2025-03-20T02:32:00+05:30 | P/L: 0.08%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T03:34:00+05:30 | Sell at 2025-03-20T04:03:00+05:30 | P/L: -0.04%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T05:01:00+05:30 | Sell at 2025-03-20T05:04:00+05:30 | P/L: 0.34%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T05:33:00+05:30 | Sell at 2025-03-20T06:09:00+05:30 | P/L: -0.08%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T06:46:00+05:30 | Sell at 2025-03-20T07:07:00+05:30 | P/L: -0.17%
2025/03/20 08:58:31 ZEN Long trade for ETHBTC: Buy at 2025-03-20T08:41:00+05:30 | Sell at 2025-03-20T08:50:00+05:30 | P/L: 0.08%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T17:31:00+05:30 | Sell at 2025-03-19T18:21:00+05:30 | P/L: -0.66%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T18:31:00+05:30 | Sell at 2025-03-19T18:38:00+05:30 | P/L: 0.29%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T18:48:00+05:30 | Sell at 2025-03-19T19:01:00+05:30 | P/L: 0.29%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T19:25:00+05:30 | Sell at 2025-03-19T19:36:00+05:30 | P/L: 0.17%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T20:00:00+05:30 | Sell at 2025-03-19T20:17:00+05:30 | P/L: 0.21%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T20:46:00+05:30 | Sell at 2025-03-19T21:02:00+05:30 | P/L: 0.25%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T21:15:00+05:30 | Sell at 2025-03-19T21:25:00+05:30 | P/L: 0.33%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T21:30:00+05:30 | Sell at 2025-03-19T22:04:00+05:30 | P/L: -0.04%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-19T22:36:00+05:30 | Sell at 2025-03-20T00:21:00+05:30 | P/L: -0.79%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T00:24:00+05:30 | Sell at 2025-03-20T01:39:00+05:30 | P/L: -0.42%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T02:20:00+05:30 | Sell at 2025-03-20T02:33:00+05:30 | P/L: 0.17%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T02:45:00+05:30 | Sell at 2025-03-20T03:18:00+05:30 | P/L: -0.04%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T03:30:00+05:30 | Sell at 2025-03-20T04:03:00+05:30 | P/L: -0.08%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T04:16:00+05:30 | Sell at 2025-03-20T05:04:00+05:30 | P/L: -0.21%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T05:27:00+05:30 | Sell at 2025-03-20T06:09:00+05:30 | P/L: -0.34%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T06:45:00+05:30 | Sell at 2025-03-20T07:07:00+05:30 | P/L: -0.13%
2025/03/20 08:58:39 RYU Long trade for ETHBTC: Buy at 2025-03-20T07:45:00+05:30 | Sell at 2025-03-20T08:49:00+05:30 | P/L: -0.08%
